record_id,csv_category,engine_category,csv_action,engine_action,csv_do_not_boil,engine_do_not_boil,chemical_flag_csv,biological_flag_csv,fluoride,arsenic_ug,arsenic_mg,nitrate,fecal_coliform,turbidity,tds,ph,state,district
IWQ-00076,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.245,0.35,0.00035,21.57,0.0,1.04,468.7,6.83,Andaman and Nicobar Islands,South Andaman
IWQ-00080,CRITICAL_CHEMICAL_TOXIN,POTABLE_SAFE,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,SAFE_TO_DRINK,True,False,True,False,0.133,0.82,0.00082,18.84,0.0,0.92,383.4,7.56,Andaman and Nicobar Islands,South Andaman
IWQ-00126,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.165,0.36,0.00036,7.12,0.0,4.68,395.7,7.12,Andaman and Nicobar Islands,Nicobar
IWQ-00148,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.202,0.16,0.00016,22.7,0.0,9.56,477.3,7.77,Andaman and Nicobar Islands,North and Middle Andaman
IWQ-00157,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.021,0.08,8e-05,2.42,0.0,1.22,190.7,7.36,Andaman and Nicobar Islands,South Andaman
IWQ-00160,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.121,0.16,0.00016,8.65,0.0,3.62,898.3,6.54,Andaman and Nicobar Islands,North and Middle Andaman
IWQ-00169,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.384,0.78,0.00078,19.8,0.0,5.68,549.3,7.02,Andaman and Nicobar Islands,North and Middle Andaman
IWQ-00170,CRITICAL_MIXED_HAZARD,UNSAFE_BIOLOGICAL_PATHOGEN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,BOIL_OR_CHLORINATE_REQUIRED,True,False,True,True,0.075,0.79,0.00079,4.24,2538.0,8.77,111.7,8.09,Andaman and Nicobar Islands,Nicobar
IWQ-00218,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.714,0.11,0.00011,6.95,0.0,2.86,489.7,7.5,Andaman and Nicobar Islands,Nicobar
IWQ-00251,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.236,0.64,0.00064,18.54,0.0,1.42,1100.8,7.72,Andaman and Nicobar Islands,Nicobar
IWQ-00265,CRITICAL_MIXED_HAZARD,UNSAFE_BIOLOGICAL_PATHOGEN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,BOIL_OR_CHLORINATE_REQUIRED,True,False,True,True,0.14,0.04,4e-05,18.94,12.3,11.5,1041.3,7.58,Andaman and Nicobar Islands,Nicobar
IWQ-00319,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.263,0.76,0.00076,10.99,0.0,3.46,46.8,6.78,Andaman and Nicobar Islands,Nicobar
IWQ-00330,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.186,0.11,0.00011,3.87,0.0,2.59,99.8,7.28,Andaman and Nicobar Islands,North and Middle Andaman
IWQ-00339,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.428,0.2,0.0002,8.29,0.0,0.44,866.1,8.25,Andaman and Nicobar Islands,South Andaman
IWQ-00352,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.21,0.12,0.00012,21.49,0.0,17.87,171.1,7.8,Andhra Pradesh,Guntur
IWQ-00355,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.052,0.02,2e-05,12.7,0.0,2.17,671.3,7.71,Andhra Pradesh,Prakasam
IWQ-00357,CRITICAL_MIXED_HAZARD,UNSAFE_BIOLOGICAL_PATHOGEN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,BOIL_OR_CHLORINATE_REQUIRED,True,False,True,True,0.178,0.88,0.00088,24.5,15390.3,22.6,241.8,7.51,Andhra Pradesh,YSR Kadapa
IWQ-00362,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.372,0.09,9e-05,18.66,0.0,0.88,272.9,7.91,Andhra Pradesh,Anantapur
IWQ-00363,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.087,0.34,0.00034,18.55,0.0,8.13,307.6,6.74,Andhra Pradesh,Bapatla
IWQ-00366,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.334,1.31,0.00131,20.4,0.0,4.98,289.5,6.86,Andhra Pradesh,YSR Kadapa
IWQ-00372,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.031,1.79,0.00179,9.68,0.0,1.54,546.7,7.6,Andhra Pradesh,Guntur
IWQ-00374,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.305,1.26,0.00126,18.61,0.0,1.48,916.4,7.17,Andhra Pradesh,Krishna
IWQ-00392,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.259,0.22,0.00022,21.09,0.0,1.23,905.5,8.05,Andhra Pradesh,Vizianagaram
IWQ-00394,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.054,0.17,0.00017,44.09,0.0,0.56,531.1,7.05,Andhra Pradesh,Kakinada
IWQ-00402,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.314,0.6,0.0006,12.33,0.0,1.56,954.6,7.25,Andhra Pradesh,YSR Kadapa
IWQ-00418,CRITICAL_CHEMICAL_TOXIN,POTABLE_SAFE,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,SAFE_TO_DRINK,True,False,True,False,0.396,0.81,0.00081,14.36,0.0,0.16,444.6,7.2,Andhra Pradesh,Guntur
IWQ-00436,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.086,4.79,0.00479,6.63,0.0,9.15,2462.3,7.19,Andhra Pradesh,Guntur
IWQ-00453,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.086,0.5,0.0005,39.69,0.0,1.01,281.5,7.59,Andhra Pradesh,Nellore
IWQ-00460,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.015,0.47,0.00047,13.93,0.0,1.48,328.4,7.7,Andhra Pradesh,East Godavari
IWQ-00478,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.143,0.3,0.0003,35.16,0.0,1.03,1009.3,7.12,Andhra Pradesh,Nellore
IWQ-00488,CRITICAL_CHEMICAL_TOXIN,POTABLE_SAFE,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,SAFE_TO_DRINK,True,False,True,False,0.234,0.34,0.00034,8.72,0.0,0.68,187.9,7.83,Andhra Pradesh,Vizianagaram
IWQ-00495,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.095,0.12,0.00012,33.06,0.0,6.4,392.4,8.09,Andhra Pradesh,Anantapur
IWQ-00510,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.319,0.59,0.00059,3.25,0.0,2.36,513.9,7.01,Andhra Pradesh,Guntur
IWQ-00522,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.4,0.57,0.00057,34.79,0.0,0.61,2239.4,6.38,Andhra Pradesh,Bapatla
IWQ-00529,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.386,0.59,0.00059,12.94,0.0,2.6,433.4,7.33,Andhra Pradesh,YSR Kadapa
IWQ-00531,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.237,0.2,0.0002,3.67,0.0,2.93,641.7,7.09,Andhra Pradesh,Guntur
IWQ-00549,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.161,0.63,0.00063,36.45,0.0,2.06,630.2,7.48,Andhra Pradesh,Palnadu
IWQ-00557,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.251,0.08,8e-05,1.67,0.0,1.38,71.4,7.88,Andhra Pradesh,Tirupati
IWQ-00558,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.044,0.3,0.0003,6.78,0.0,0.88,1081.1,7.91,Andhra Pradesh,Vizianagaram
IWQ-00559,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.01,0.22,0.00022,18.13,0.0,1.15,826.3,7.29,Andhra Pradesh,Prakasam
IWQ-00560,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.457,0.1,0.0001,34.0,0.0,1.26,555.6,7.57,Andhra Pradesh,YSR Kadapa
IWQ-00572,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.191,0.5,0.0005,23.64,0.0,1.45,420.0,7.37,Andhra Pradesh,YSR Kadapa
IWQ-00574,CRITICAL_MIXED_HAZARD,UNSAFE_BIOLOGICAL_PATHOGEN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,BOIL_OR_CHLORINATE_REQUIRED,True,False,True,True,1.299,0.12,0.00012,11.92,2139.0,17.35,340.0,7.93,Andhra Pradesh,Prakasam
IWQ-00580,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.372,0.34,0.00034,15.42,0.0,2.56,625.4,7.36,Andhra Pradesh,Tirupati
IWQ-00592,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.783,0.12,0.00012,19.48,0.0,12.3,284.0,7.42,Andhra Pradesh,Krishna
IWQ-00598,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.139,0.03,3e-05,23.99,0.0,2.33,610.3,7.75,Andhra Pradesh,Prakasam
IWQ-00639,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.191,1.47,0.00147,11.63,0.0,5.1,224.9,7.93,Andhra Pradesh,Tirupati
IWQ-00641,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.394,0.5,0.0005,2.25,0.0,2.17,341.1,7.9,Andhra Pradesh,Chittoor
IWQ-00646,CRITICAL_MIXED_HAZARD,UNSAFE_BIOLOGICAL_PATHOGEN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,BOIL_OR_CHLORINATE_REQUIRED,True,False,True,True,0.371,10.56,0.01056,11.74,16027.3,17.39,477.5,7.03,Andhra Pradesh,Krishna
IWQ-00651,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.302,0.07,7e-05,17.41,0.0,3.66,276.9,7.87,Andhra Pradesh,Guntur
IWQ-00667,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.213,0.52,0.00052,6.1,0.0,0.28,402.4,7.24,Andhra Pradesh,Visakhapatnam
IWQ-00680,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.037,1.3,0.0013,31.09,0.0,1.2,1226.4,7.86,Andhra Pradesh,East Godavari
IWQ-00704,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.707,0.34,0.00034,38.71,0.0,2.43,1153.8,7.55,Andhra Pradesh,Guntur
IWQ-00707,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.017,0.61,0.00061,35.03,0.0,2.92,383.4,7.52,Andhra Pradesh,Bapatla
IWQ-00715,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.493,2.69,0.00269,17.0,0.0,1.24,1258.0,6.9,Andhra Pradesh,Guntur
IWQ-00729,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.157,0.3,0.0003,15.3,0.0,0.34,858.8,7.56,Andhra Pradesh,Guntur
IWQ-00732,CRITICAL_CHEMICAL_TOXIN,MODERATE_PHYSICAL_PARAM,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,FILTER_AND_RETEST,True,False,True,False,0.32,0.23,0.00023,13.54,0.0,2.96,1819.8,7.11,Andhra Pradesh,Anantapur
IWQ-00739,MODERATE_PHYSICAL_PARAM,CRITICAL_CHEMICAL_TOXIN,FILTRATION_TREATMENT_RECOMMENDED,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.496,0.1,0.0001,16.92,0.0,0.25,2017.1,7.3,Andhra Pradesh,Anantapur
IWQ-00756,POTABLE_SAFE,CRITICAL_CHEMICAL_TOXIN,SAFE_TO_DRINK,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,False,True,False,False,1.148,0.03,3e-05,30.31,0.0,2.49,771.7,8.32,Andhra Pradesh,East Godavari
