record_id,csv_category,engine_category,csv_action_code,engine_action_code,csv_do_not_boil,engine_do_not_boil,csv_is_potable,engine_severity,primary_contaminant,ph,turbidity_ntu,tds_mg_L,total_hardness_mg_L,chloride_mg_L,fluoride_mg_L,arsenic_ug_L,arsenic_mg_L,iron_mg_L,uranium_ug_L,uranium_mg_L,nitrate_mg_L,fecal_coliform_MPN_100mL,state_ut,district,category_match,action_match,do_not_boil_match,anti_boil_violation
IWQ-00001,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.47,3.47,327.2,170.6,70.5,0.236,0.25,0.00025,0.152,2.06,0.00206,24.72,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00002,MODERATE_PHYSICAL_PARAM,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,FILTRATION_TREATMENT_RECOMMENDED,False,False,False,MODERATE,Turbidity,7.58,10.12,1383.1,870.5,161.9,0.235,0.26,0.00026,0.046,3.09,0.00309,24.44,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00003,MODERATE_PHYSICAL_PARAM,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,FILTRATION_TREATMENT_RECOMMENDED,False,False,False,MODERATE,Turbidity,8.48,6.01,150.7,75.6,34.9,0.51,0.4,0.0004,0.034,0.55,0.00055,16.4,0.0,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00004,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.06,6.6,647.4,202.3,82.0,0.202,0.16,0.00016,0.017,1.33,0.00133,5.65,3386.8,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00005,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.18,4.56,215.8,86.0,66.3,0.693,0.57,0.00057,0.178,1.19,0.00119,7.08,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00006,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.02,2.58,269.1,100.8,52.9,0.043,0.02,2e-05,0.026,0.2,0.0002,15.84,809.7,Andaman and Nicobar Islands,North and Middle Andaman,True,True,True,False
IWQ-00007,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.84,4.54,252.8,174.9,30.9,0.157,0.02,2e-05,0.473,1.64,0.00164,41.15,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00008,UNSAFE_BIOLOGICAL_PATHOGEN,UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,BOIL_OR_CHLORINATE_REQUIRED,False,False,False,CRITICAL,E. coli / Thermotolerant Coliform Indicator,7.3,32.14,53.5,28.7,5.8,0.753,0.16,0.00016,0.847,0.27,0.00027,10.88,235.6,Andaman and Nicobar Islands,South Andaman,True,True,True,False
IWQ-00009,CRITICAL_CHEMICAL_TOXIN,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,True,True,False,CRITICAL,Nitrate,7.12,0.17,323.2,126.4,56.1,0.874,0.62,0.00062,0.213,1.12,0.00112,46.69,0.0,Andaman and Nicobar Islands,Nicobar,True,True,True,False
IWQ-00010,POTABLE_SAFE,POTABLE_SAFE,SAFE_TO_DRINK,SAFE_TO_DRINK,False,False,True,SAFE,,7.66,0.33,505.9,163.2,148.4,0.119,9.69,0.00969,0.156,0.39,0.00039,25.3,0.0,Andaman and Nicobar Islands,South Andaman,True,True,True,False
