record_id,state_ut,state_code,district,city_or_town,source_type,source_subtype,season,sample_date,pH,tds_mg_L,turbidity_NTU,total_hardness_mg_L,chloride_mg_L,nitrate_mg_L,fluoride_mg_L,arsenic_ug_L,uranium_ug_L,iron_mg_L,fecal_coliform_MPN_100mL,arsenic_mg_L,uranium_mg_L,has_chemical_hazard,has_biological_hazard,has_physical_issue,do_not_boil,boil_recommended,breach_details,alert_category,action_code,display_color,is_potable
IWQ-00080,Andaman and Nicobar Islands,AN,South Andaman,Port Blair,Groundwater,Dug well,Post-monsoon,2024-11-05,7.56,383.4,0.92,142.1,66.0,18.84,0.133,0.82,1.12,2.055,0.0,0.00082,0.00112,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00101,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Piped tap water,Rural tap (JJM),Post-monsoon,2024-11-08,8.18,1727.0,0.38,823.1,253.0,8.15,0.655,0.26,5.24,0.021,0.0,0.00026,0.00524,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00120,Andaman and Nicobar Islands,AN,North and Middle Andaman,Mayabunder,Groundwater,Hand pump,Pre-monsoon,2024-05-04,8.33,958.8,1.05,617.6,232.6,2.7,0.571,1.64,2.11,0.029,21.1,0.00164,0.00211,False,True,True,False,True,Coliform: 21 MPN (Max: 0),UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,orange,False
IWQ-00148,Andaman and Nicobar Islands,AN,North and Middle Andaman,Mayabunder,Groundwater,Dug well,Pre-monsoon,2024-06-07,7.77,477.3,9.56,303.1,93.3,22.7,0.202,0.16,2.54,1.039,0.0,0.00016,0.00254,True,False,True,True,False,Turbidity: 9.56 NTU (Max: 5.0),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00160,Andaman and Nicobar Islands,AN,North and Middle Andaman,Mayabunder,Groundwater,Bore well,Pre-monsoon,2024-04-20,6.54,898.3,3.62,156.0,208.5,8.65,0.121,0.16,2.73,1.382,0.0,0.00016,0.00273,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00170,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Surface water,Canal,Post-monsoon,2024-11-16,8.09,111.7,8.77,50.5,23.4,4.24,0.075,0.79,6.26,1.237,2538.0,0.00079,0.00626,True,True,True,True,False,Coliform: 2538 MPN (Max: 0); Turbidity: 8.77 NTU (Max: 5.0),CRITICAL_MIXED_HAZARD,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00188,Andaman and Nicobar Islands,AN,South Andaman,Port Blair,Groundwater,Hand pump,Post-monsoon,2024-11-13,7.13,1176.2,1.48,685.2,133.5,9.7,0.577,0.8,0.37,0.015,0.0,0.0008,0.00037,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00195,Andaman and Nicobar Islands,AN,South Andaman,Port Blair,Groundwater,Bore well,Pre-monsoon,2024-06-04,8.06,951.8,0.73,818.5,214.2,6.09,0.876,9.75,1.63,0.233,0.0,0.00975,0.00163,False,False,True,False,False,,MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00233,Andaman and Nicobar Islands,AN,North and Middle Andaman,Mayabunder,Groundwater,Hand pump,Post-monsoon,2024-10-02,7.82,104.7,2.84,63.3,18.1,16.22,1.358,0.58,5.07,1.141,0.0,0.00058,0.00507,True,False,False,True,False,,CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00265,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Groundwater,Hand pump,Post-monsoon,2024-11-21,7.58,1041.3,11.5,208.1,280.8,18.94,0.14,0.04,2.8,2.228,12.3,4e-05,0.0028,True,True,True,True,False,Coliform: 12 MPN (Max: 0); Turbidity: 11.5 NTU (Max: 5.0),CRITICAL_MIXED_HAZARD,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
