record_id,state_ut,state_code,district,city_or_town,source_type,source_subtype,season,sample_date,pH,tds_mg_L,turbidity_NTU,total_hardness_mg_L,chloride_mg_L,nitrate_mg_L,fluoride_mg_L,arsenic_ug_L,uranium_ug_L,iron_mg_L,fecal_coliform_MPN_100mL,arsenic_mg_L,uranium_mg_L,has_chemical_hazard,has_biological_hazard,has_physical_issue,do_not_boil,boil_recommended,breach_details,alert_category,action_code,display_color,is_potable
IWQ-00001,Andaman and Nicobar Islands,AN,South Andaman,Port Blair,Groundwater,Hand pump,Pre-monsoon,2024-05-13,7.47,327.2,3.47,170.6,70.5,24.72,0.236,0.25,2.06,0.152,0.0,0.00025,0.00206,False,False,False,False,False,None,POTABLE_SAFE,SAFE_TO_DRINK,green,True
IWQ-00002,Andaman and Nicobar Islands,AN,South Andaman,Port Blair,Groundwater,Bore well,Post-monsoon,2024-10-27,7.58,1383.1,10.12,870.5,161.9,24.44,0.235,0.26,3.09,0.046,0.0,0.00026,0.00309,False,False,True,False,False,Turbidity: 10.12 NTU (Max: 5.0),MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00003,Andaman and Nicobar Islands,AN,North and Middle Andaman,Mayabunder,Piped tap water,Municipal tap,Pre-monsoon,2024-05-12,8.48,150.7,6.01,75.6,34.9,16.4,0.51,0.4,0.55,0.034,0.0,0.0004,0.00055,False,False,True,False,False,Turbidity: 6.01 NTU (Max: 5.0),MODERATE_PHYSICAL_PARAM,FILTRATION_TREATMENT_RECOMMENDED,yellow,False
IWQ-00004,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Surface water,Canal,Post-monsoon,2024-11-27,7.06,647.4,6.6,202.3,82.0,5.65,0.202,0.16,1.33,0.017,3386.8,0.00016,0.00133,False,True,True,False,True,Coliform: 3386 MPN (Max: 0); Turbidity: 6.6 NTU (Max: 5.0),UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,orange,False
IWQ-00005,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Groundwater,Hand pump,Post-monsoon,2024-10-27,7.18,215.8,4.56,86.0,66.3,7.08,0.693,0.57,1.19,0.178,0.0,0.00057,0.00119,False,False,False,False,False,None,POTABLE_SAFE,SAFE_TO_DRINK,green,True
IWQ-00006,Andaman and Nicobar Islands,AN,North and Middle Andaman,Mayabunder,Surface water,Canal,Post-monsoon,2024-11-10,7.02,269.1,2.58,100.8,52.9,15.84,0.043,0.02,0.2,0.026,809.7,2e-05,0.0002,False,True,False,False,True,Coliform: 809 MPN (Max: 0),UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,orange,False
IWQ-00007,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Groundwater,Bore well,Pre-monsoon,2024-04-14,7.84,252.8,4.54,174.9,30.9,41.15,0.157,0.02,1.64,0.473,0.0,2e-05,0.00164,False,False,False,False,False,None,POTABLE_SAFE,SAFE_TO_DRINK,green,True
IWQ-00008,Andaman and Nicobar Islands,AN,South Andaman,Port Blair,Surface water,Pond/Lake,Post-monsoon,2024-11-11,7.3,53.5,32.14,28.7,5.8,10.88,0.753,0.16,0.27,0.847,235.6,0.00016,0.00027,False,True,True,False,True,Coliform: 235 MPN (Max: 0); Turbidity: 32.14 NTU (Max: 5.0),UNSAFE_BIOLOGICAL_PATHOGEN,BOIL_OR_CHLORINATE_REQUIRED,orange,False
IWQ-00009,Andaman and Nicobar Islands,AN,Nicobar,Car Nicobar,Piped tap water,Municipal tap,Pre-monsoon,2024-04-11,7.12,323.2,0.17,126.4,56.1,46.69,0.874,0.62,1.12,0.213,0.0,0.00062,0.00112,True,False,False,True,False,Nitrate: 46.69 mg/L (Max: 45),CRITICAL_CHEMICAL_TOXIN,DO_NOT_BOIL_ALTERNATIVE_SOURCE_ONLY,red,False
IWQ-00010,Andaman and Nicobar Islands,AN,South Andaman,Port Blair,Piped tap water,Rural tap (JJM),Pre-monsoon,2024-04-06,7.66,505.9,0.33,163.2,148.4,25.3,0.119,9.69,0.39,0.156,0.0,0.00969,0.00039,False,False,False,False,False,None,POTABLE_SAFE,SAFE_TO_DRINK,green,True
